bike_number,accumulated_hours_past,total_trips_past,bike_model
52704,87.98449472222222,317.0,CLASSIC
52705,73.17639722222222,253.0,CLASSIC
52707,7.362225555555556,31.0,CLASSIC
52708,24.30226194444444,101.0,CLASSIC
52709,54.30384666666666,182.0,CLASSIC
52710,20.52987083333333,95.0,CLASSIC
52711,79.0288827777778,318.0,CLASSIC
52712,104.15879055555556,397.0,CLASSIC
52713,24.29825777777777,93.0,CLASSIC
52714,53.70607083333334,246.0,CLASSIC
52715,60.85232861111111,256.0,CLASSIC
52716,23.543497777777777,72.0,CLASSIC
52717,50.59242305555556,180.0,CLASSIC
52718,66.49173083333332,258.0,CLASSIC
52719,44.47861722222223,158.0,CLASSIC
52722,91.0517147222222,362.0,CLASSIC
52723,85.35286416666666,271.0,CLASSIC
52725,22.530696944444443,101.0,CLASSIC
52726,43.15831694444444,154.0,CLASSIC
52728,51.58945805555555,240.0,CLASSIC
52729,31.444022222222227,115.0,CLASSIC
52730,87.19528444444444,306.0,CLASSIC
52731,122.47248138888888,450.0,CLASSIC
52732,55.741772222222224,206.0,CLASSIC
52733,98.50660055555556,347.0,CLASSIC
52735,45.94100611111112,170.0,CLASSIC
52736,82.88326083333334,314.0,CLASSIC
52737,61.88914416666666,257.0,CLASSIC
52738,47.36381972222223,154.0,CLASSIC
52740,101.33596861111111,373.0,CLASSIC
52741,24.15838027777778,109.0,CLASSIC
52742,86.42123638888887,329.0,CLASSIC
52743,126.8829811111111,322.0,CLASSIC
52744,67.49767277777778,288.0,CLASSIC
52745,56.47541611111111,213.0,CLASSIC
52746,89.30692194444444,304.0,CLASSIC
52747,58.29873972222224,245.0,CLASSIC
52748,61.948603611111125,157.0,CLASSIC
52749,38.78542444444445,167.0,CLASSIC
52750,132.44844083333334,524.0,CLASSIC
52752,68.12382888888888,225.0,CLASSIC
52753,69.65151944444445,235.0,CLASSIC
52754,101.9965247222222,439.0,CLASSIC
52755,117.43446888888889,333.0,CLASSIC
52756,88.54065972222222,313.0,CLASSIC
52757,77.9580786111111,346.0,CLASSIC
52759,47.19776527777778,185.0,CLASSIC
52760,70.60771805555557,287.0,CLASSIC
52761,112.57707166666668,278.0,CLASSIC
52762,81.68206500000001,300.0,CLASSIC
52765,74.80501305555556,292.0,CLASSIC
52766,69.79304166666668,263.0,CLASSIC
52768,28.232570555555554,94.0,CLASSIC
52769,83.8840511111111,320.0,CLASSIC
52770,62.66705611111112,244.0,CLASSIC
52772,116.48493027777778,421.0,CLASSIC
52773,69.24950472222223,326.0,CLASSIC
52774,93.19775500000002,335.0,CLASSIC
52775,67.34566805555556,267.0,CLASSIC
52776,58.38934833333333,231.0,CLASSIC
52777,52.97532222222222,183.0,CLASSIC
52778,65.16619972222223,205.0,CLASSIC
52779,93.96311444444444,368.0,CLASSIC
52780,150.94908305555558,518.0,CLASSIC
52781,34.32934083333333,132.0,CLASSIC
52782,62.67590638888888,219.0,CLASSIC
52783,79.61683500000001,280.0,CLASSIC
52784,78.80008722222223,304.0,CLASSIC
52785,66.29822888888889,226.0,CLASSIC
52786,56.07513361111111,143.0,CLASSIC
52788,112.70146805555557,403.0,CLASSIC
52789,75.96471611111112,278.0,CLASSIC
52790,87.53354694444445,310.0,CLASSIC
52792,95.9078375,387.0,CLASSIC
52793,102.19266361111112,380.0,CLASSIC
52794,96.4352413888889,354.0,CLASSIC
52795,68.74756527777778,294.0,CLASSIC
52796,106.86396083333334,428.0,CLASSIC
52798,28.702825277777777,112.0,CLASSIC
52799,29.376846111111117,109.0,CLASSIC
52800,66.31095333333334,193.0,CLASSIC
52801,44.67491416666667,164.0,CLASSIC
52804,83.84516527777777,340.0,CLASSIC
52805,95.85466222222222,322.0,CLASSIC
52807,39.01649444444445,150.0,CLASSIC
52808,85.23179222222221,294.0,CLASSIC
52809,90.69626944444444,362.0,CLASSIC
