bike_number,bike_model,accumulated_hours_past,total_trips_past
12458,CLASSIC,6.064127777777778,20
12466,CLASSIC,6.342638888888889,32
12467,CLASSIC,6.300669444444444,24
12484,CLASSIC,1.402533888888889,6
12487,CLASSIC,5.097938611111111,20
12508,CLASSIC,4.721416666666666,13
12523,CLASSIC,5.693266944444445,20
12545,CLASSIC,7.082302777777778,31
12556,CLASSIC,5.387903888888888,21
12568,CLASSIC,12.921865833333333,45
12572,CLASSIC,10.99430138888889,43
12575,CLASSIC,5.046710277777778,22
12622,CLASSIC,2.10659,10
12631,CLASSIC,17.935797222222224,27
12632,CLASSIC,4.443782777777778,26
12637,CLASSIC,7.186901944444444,30
12647,CLASSIC,9.6686475,30
12662,CLASSIC,13.165910555555556,44
12667,CLASSIC,7.907499444444444,35
12670,CLASSIC,1.6928186111111112,7
12684,CLASSIC,5.008526111111111,18
12690,CLASSIC,1.9324733333333333,12
12761,CLASSIC,14.088086666666667,51
12783,CLASSIC,3.189294444444444,17
12812,CLASSIC,9.938766666666666,52
12820,CLASSIC,6.966533611111111,31
12823,CLASSIC,2.1114105555555556,8
12825,CLASSIC,8.938546944444445,32
12835,CLASSIC,0.3991675,1
12837,CLASSIC,2.5764819444444447,16
12863,CLASSIC,8.806810555555556,23
12866,CLASSIC,3.405279166666667,13
12899,CLASSIC,5.812688888888889,20
12917,CLASSIC,3.0342813888888887,14
12919,CLASSIC,3.272606111111111,14
12923,CLASSIC,1.202905,6
12939,CLASSIC,16.07460083333333,58
12941,CLASSIC,2.4520727777777775,12
12953,CLASSIC,7.178949444444444,35
12959,CLASSIC,5.4718108333333335,27
12970,CLASSIC,9.782472222222221,42
12984,CLASSIC,1.7823341666666666,5
12990,CLASSIC,7.221525833333334,35
12991,CLASSIC,12.085168055555556,44
12998,CLASSIC,9.082969722222222,35
13000,CLASSIC,6.580926111111111,25
13010,CLASSIC,8.72443111111111,38
13014,CLASSIC,4.482515,25
13051,CLASSIC,7.549353055555556,32
13057,CLASSIC,9.979075277777778,29
13065,CLASSIC,6.444205277777778,15
13067,CLASSIC,4.640911666666667,19
13078,CLASSIC,9.552845277777777,36
13085,CLASSIC,10.272099722222222,40
13096,CLASSIC,2.2671375,10
13116,CLASSIC,15.251101666666667,40
13121,CLASSIC,5.159480277777778,22
13129,CLASSIC,1.9766325,15
13141,CLASSIC,15.65822388888889,53
13155,CLASSIC,8.333763611111111,37
13181,CLASSIC,11.299360555555555,39
13228,CLASSIC,9.345733333333333,40
13231,CLASSIC,9.176016666666667,33
13237,CLASSIC,8.403063611111111,31
13257,CLASSIC,1.7164852777777777,13
13267,CLASSIC,9.8165975,44
13281,CLASSIC,3.032074722222222,15
13300,CLASSIC,1.780116111111111,6
13321,CLASSIC,5.9165325,22
13336,CLASSIC,12.619388333333333,51
13363,CLASSIC,11.784626944444444,42
13370,CLASSIC,3.0076733333333334,9
13396,CLASSIC,3.1149655555555555,14
13399,CLASSIC,8.355243055555556,24
13418,CLASSIC,6.5884275,26
13425,CLASSIC,3.7405905555555554,19
13428,CLASSIC,10.451051111111111,46
13436,CLASSIC,7.315945277777778,40
13442,CLASSIC,10.118071111111112,46
13444,CLASSIC,7.152912222222223,32
13452,CLASSIC,2.737915,17
13460,CLASSIC,3.8385291666666665,17
13461,CLASSIC,5.325171388888889,25
13463,CLASSIC,2.9271019444444444,13
13508,CLASSIC,10.492757222222222,35
13516,CLASSIC,4.723449444444444,18
13522,CLASSIC,6.946213611111111,34
13545,CLASSIC,4.642471111111111,16
13559,CLASSIC,8.032302777777778,37
13574,CLASSIC,4.747269444444444,16
13577,CLASSIC,4.064718611111111,14
13586,CLASSIC,5.865271944444444,25
13589,CLASSIC,8.771577222222222,41
13590,CLASSIC,5.3805113888888885,21
13606,CLASSIC,25.013923611111114,36
13610,CLASSIC,6.562421111111111,27
13611,CLASSIC,6.213859722222222,31
13616,CLASSIC,10.468485277777777,38
13619,CLASSIC,4.897453888888889,18
13623,CLASSIC,14.635275555555555,49
13651,CLASSIC,6.656606666666667,32
13652,CLASSIC,10.845669444444445,32
13668,CLASSIC,4.832087777777778,22
13680,CLASSIC,10.211296388888888,42
13682,CLASSIC,9.206284166666666,35
13698,CLASSIC,9.633900833333334,39
13711,CLASSIC,14.218272777777777,48
13723,CLASSIC,2.0035558333333334,10
13730,CLASSIC,6.8045575,33
13737,CLASSIC,8.761451666666666,41
13746,CLASSIC,35.33640472222222,17
13768,CLASSIC,2.8999663888888887,11
13773,CLASSIC,8.349720555555555,38
13782,CLASSIC,11.050119166666667,47
13786,CLASSIC,3.713541388888889,18
13800,CLASSIC,7.4129475000000005,21
13802,CLASSIC,2.1563119444444445,7
13819,CLASSIC,2.8650975,15
13821,CLASSIC,6.3286597222222225,21
13825,CLASSIC,13.67190361111111,53
13828,CLASSIC,12.812100555555556,46
13832,CLASSIC,7.5592175,27
13848,CLASSIC,3.987112222222222,16
13850,CLASSIC,3.3515333333333333,11
13870,CLASSIC,5.8780075,27
13877,CLASSIC,18.05403527777778,55
13878,CLASSIC,10.362646388888889,47
13883,CLASSIC,20.60372138888889,35
13911,CLASSIC,6.311773055555555,23
13921,CLASSIC,10.003835833333333,47
13937,CLASSIC,13.501704444444444,51
13955,CLASSIC,7.562110277777778,34
13956,CLASSIC,7.264477777777778,31
13973,CLASSIC,7.951711666666666,23
14033,CLASSIC,4.137380555555556,16
14039,CLASSIC,10.26153361111111,38
14045,CLASSIC,5.793955277777778,23
14046,CLASSIC,5.9877336111111115,24
14076,CLASSIC,1.3644716666666667,8
14077,CLASSIC,10.811650833333333,35
14082,CLASSIC,4.091911388888889,19
14087,CLASSIC,6.583646388888889,29
14101,CLASSIC,5.3304925,17
14103,CLASSIC,12.945523333333334,31
14112,CLASSIC,7.925464444444445,31
14126,CLASSIC,4.5260025,17
14127,CLASSIC,3.1705413888888887,12
14129,CLASSIC,3.009713888888889,10
14142,CLASSIC,1.2528497222222221,4
14143,CLASSIC,8.752054166666667,32
14148,CLASSIC,7.5681569444444445,38
14151,CLASSIC,4.4589622222222225,21
14166,CLASSIC,9.673027222222222,26
14173,CLASSIC,6.591740277777777,28
14181,CLASSIC,3.6656327777777777,18
14192,CLASSIC,12.259875,45
14201,CLASSIC,14.185141944444444,45
14221,CLASSIC,7.821805555555556,32
14235,CLASSIC,10.345716111111111,25
14268,CLASSIC,6.775328333333333,37
14273,CLASSIC,10.401710555555555,32
